TIME: 14 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 3
TIME: 15 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 3
TIME: 16 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 3
TIME: 17 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 7 ; min_ELAPSE: 3; max_ELAPSED: 11
TIME: 18 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 3
TIME: 19 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 3
TIME: 20 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 4
TIME: 21 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 3
TIME: 22 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 3
TIME: 23 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 3
TIME: 24 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 4
TIME: 25 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 3
TIME: 26 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 1 ; min_ELAPSE: 1; max_ELAPSED: 2
TIME: 27 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 3
TIME: 28 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 3
TIME: 29 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 2
TIME: 30 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 3
TIME: 31 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 1 ; min_ELAPSE: 1; max_ELAPSED: 2
TIME: 32 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 3
TIME: 33 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 3
TIME: 34 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 1 ; min_ELAPSE: 0; max_ELAPSED: 2
TIME: 35 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 3
TIME: 36 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 1 ; min_ELAPSE: 0; max_ELAPSED: 2
TIME: 37 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 3
TIME: 38 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 1 ; min_ELAPSE: 1; max_ELAPSED: 2
TIME: 39 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 3
TIME: 40 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 3
TIME: 41 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 3
TIME: 42 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 4
TIME: 43 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 4
TIME: 44 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 9 ; min_ELAPSE: 5; max_ELAPSED: 14
TIME: 45 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 3
TIME: 46 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 8 ; min_ELAPSE: 6; max_ELAPSED: 10
TIME: 47 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 4
TIME: 48 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 4 ; min_ELAPSE: 3; max_ELAPSED: 6
TIME: 49 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 7 ; min_ELAPSE: 3; max_ELAPSED: 12
TIME: 50 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 4 ; min_ELAPSE: 4; max_ELAPSED: 4
TIME: 51 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 3
TIME: 52 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 6 ; min_ELAPSE: 3; max_ELAPSED: 10
TIME: 53 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 4 ; min_ELAPSE: 2; max_ELAPSED: 6
TIME: 54 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 3
TIME: 55 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 3
TIME: 56 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 4 ; min_ELAPSE: 3; max_ELAPSED: 5
TIME: 57 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 4 ; min_ELAPSE: 2; max_ELAPSED: 6
TIME: 58 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 3
TIME: 59 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 3
TIME: 60 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 4 ; min_ELAPSE: 3; max_ELAPSED: 6
TIME: 61 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 3
TIME: 62 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 4 ; min_ELAPSE: 3; max_ELAPSED: 5
TIME: 63 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 1; max_ELAPSED: 6
TIME: 64 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 8 ; min_ELAPSE: 8; max_ELAPSED: 8
TIME: 65 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 2; max_ELAPSED: 4
TIME: 66 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 6 ; min_ELAPSE: 3; max_ELAPSED: 9
TIME: 67 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 5 ; min_ELAPSE: 4; max_ELAPSED: 6
TIME: 68 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 7 ; min_ELAPSE: 7; max_ELAPSED: 8
TIME: 69 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 3
TIME: 70 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 2; max_ELAPSED: 4
TIME: 71 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 1 ; min_ELAPSE: 1; max_ELAPSED: 2
TIME: 72 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 6 ; min_ELAPSE: 4; max_ELAPSED: 8
TIME: 73 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 7 ; min_ELAPSE: 5; max_ELAPSED: 9
TIME: 74 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 6 ; min_ELAPSE: 5; max_ELAPSED: 8
TIME: 75 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 10 ; min_ELAPSE: 3; max_ELAPSED: 18
TIME: 76 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 4 ; min_ELAPSE: 3; max_ELAPSED: 5
TIME: 77 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 4 ; min_ELAPSE: 3; max_ELAPSED: 5
TIME: 78 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 1; max_ELAPSED: 5
TIME: 79 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 3
TIME: 80 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 3
TIME: 81 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 3
TIME: 82 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 3
TIME: 83 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 3
TIME: 84 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 1 ; min_ELAPSE: 1; max_ELAPSED: 2
TIME: 85 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 4
TIME: 86 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 4 ; min_ELAPSE: 3; max_ELAPSED: 5
TIME: 87 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 1 ; min_ELAPSE: 1; max_ELAPSED: 2
TIME: 88 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 8 ; min_ELAPSE: 7; max_ELAPSED: 10
TIME: 89 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 3
TIME: 90 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 1; max_ELAPSED: 5
TIME: 91 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 2
TIME: 92 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 1 ; min_ELAPSE: 0; max_ELAPSED: 3
TIME: 93 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 3
TIME: 94 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 2
TIME: 95 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 1 ; min_ELAPSE: 1; max_ELAPSED: 2
TIME: 96 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 4 ; min_ELAPSE: 1; max_ELAPSED: 7
TIME: 97 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 1 ; min_ELAPSE: 1; max_ELAPSED: 2
TIME: 98 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 4
TIME: 99 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 6 ; min_ELAPSE: 3; max_ELAPSED: 9
TIME: 100 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 8 ; min_ELAPSE: 6; max_ELAPSED: 10
TIME: 1 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 18 ; min_ELAPSE: 16; max_ELAPSED: 21
TIME: 2 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 4
TIME: 3 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 4 ; min_ELAPSE: 3; max_ELAPSED: 6
TIME: 4 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 5 ; min_ELAPSE: 5; max_ELAPSED: 6
TIME: 5 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 4
TIME: 6 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 3
TIME: 7 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 3
TIME: 8 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 2
TIME: 9 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 3
TIME: 10 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 5 ; min_ELAPSE: 3; max_ELAPSED: 8
TIME: 11 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 4 ; min_ELAPSE: 3; max_ELAPSED: 5
TIME: 12 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 2; max_ELAPSED: 4
TIME: 13 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 5 ; min_ELAPSE: 5; max_ELAPSED: 5
TIME: 14 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 3
TIME: 15 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 3
TIME: 16 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 3
TIME: 17 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 7 ; min_ELAPSE: 3; max_ELAPSED: 11
TIME: 18 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 3
TIME: 19 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 3
TIME: 20 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 4
TIME: 21 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 3
TIME: 22 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 3
TIME: 23 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 3
TIME: 24 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 4
TIME: 25 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 3
TIME: 26 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 1 ; min_ELAPSE: 1; max_ELAPSED: 2
TIME: 27 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 3
TIME: 28 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 3
TIME: 29 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 2
TIME: 30 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 3
TIME: 31 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 1 ; min_ELAPSE: 1; max_ELAPSED: 2
TIME: 32 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 3
TIME: 33 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 3
TIME: 34 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 1 ; min_ELAPSE: 0; max_ELAPSED: 2
TIME: 35 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 3
TIME: 36 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 1 ; min_ELAPSE: 0; max_ELAPSED: 2
TIME: 37 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 3
TIME: 38 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 1 ; min_ELAPSE: 1; max_ELAPSED: 2
TIME: 39 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 3
TIME: 40 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 3
TIME: 41 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 3
TIME: 42 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 4
TIME: 43 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 4
TIME: 44 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 9 ; min_ELAPSE: 5; max_ELAPSED: 14
TIME: 45 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 3
TIME: 46 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 8 ; min_ELAPSE: 6; max_ELAPSED: 10
TIME: 47 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 4
TIME: 48 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 4 ; min_ELAPSE: 3; max_ELAPSED: 6
TIME: 49 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 7 ; min_ELAPSE: 3; max_ELAPSED: 12
TIME: 50 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 4 ; min_ELAPSE: 4; max_ELAPSED: 4
TIME: 51 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 3
TIME: 52 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 6 ; min_ELAPSE: 3; max_ELAPSED: 10
TIME: 53 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 4 ; min_ELAPSE: 2; max_ELAPSED: 6
TIME: 54 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 3
TIME: 55 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 3
TIME: 56 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 4 ; min_ELAPSE: 3; max_ELAPSED: 5
TIME: 57 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 4 ; min_ELAPSE: 2; max_ELAPSED: 6
TIME: 58 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 3
TIME: 59 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 3
TIME: 60 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 4 ; min_ELAPSE: 3; max_ELAPSED: 6
TIME: 61 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 3
TIME: 62 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 4 ; min_ELAPSE: 3; max_ELAPSED: 5
TIME: 63 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 1; max_ELAPSED: 6
